participant_id,1st_playlist,2nd_playlist,3rd_playlist,age,gender,hours_spotify,hours_spotify_coded,most_enjoyable_playlist,msi_F1,msi_F2,msi_F3,msi_F4,msi_F5,msi_FG,SUM_msi,extraversion,agreeableness,conscientiousness,neuroticism,openness,companionship,investment
19,low_mood_low_tempo_extr,high_mood_low_tempo_extr,low_mood_high_tempo_extr,25,0,40,3,low_mood_low_tempo_extr,36,55,9,34,10,43,187,2.5,4.0,4.75,2.5,2.75,-4.01075192477805,-1.57712700737802
20,high_mood_low_tempo_extr,low_mood_high_tempo_extr,low_mood_low_tempo_extr,59,1,0,-3,low_mood_high_tempo_extr,38,50,24,32,24,70,238,4.0,4.75,5.0,2.75,4.5,-9.90346702008527,-2.56463890904598
21,high_mood_low_tempo_extr,low_mood_high_tempo_extr,low_mood_low_tempo_extr,47,1,3,-2,low_mood_low_tempo_extr,26,47,6,36,21,50,186,3.75,5.0,4.0,3.25,2.0,-4.46181795272538,3.76495593807697
23,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,46,0,6,-1,low_mood_high_tempo_not_extr,39,49,6,34,28,67,223,2.5,3.25,2.75,2.25,3.5,-4.9558778004258,0.59290919781371
24,high_mood_low_tempo_extr,low_mood_low_tempo_extr,low_mood_high_tempo_extr,46,1,10,0,low_mood_high_tempo_extr,50,42,10,37,28,64,231,4.0,2.5,4.25,3.5,4.0,-6.348064938858871,2.22686118654787
25,low_mood_low_tempo_extr,high_mood_low_tempo_extr,low_mood_high_tempo_extr,23,0,7,0,high_mood_low_tempo_extr,20,52,21,35,27,63,218,2.25,2.25,3.75,2.25,4.75,-2.3294724033572205,0.539710441916837
26,high_mood_low_tempo_extr,low_mood_low_tempo_extr,low_mood_high_tempo_extr,47,0,10,0,low_mood_high_tempo_extr,39,43,11,30,27,57,207,1.75,3.75,4.0,2.0,3.75,-4.51125380671097,0.794762333605237
27,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,51,1,0,-3,low_mood_high_tempo_not_extr,33,46,7,33,28,55,202,3.0,3.25,4.5,1.5,3.5,-10.7645992961905,1.38056727945664
29,low_mood_high_tempo_extr,high_mood_low_tempo_extr,low_mood_low_tempo_extr,23,0,0,-3,low_mood_low_tempo_extr,50,39,23,38,36,82,268,2.75,4.0,2.75,3.75,4.5,-8.29066849913375,2.98914784836124
30,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,high_mood_low_tempo_not_extr,15,1,15,1,low_mood_low_tempo_not_extr,42,42,19,32,29,71,235,4.5,4.25,2.25,2.75,3.25,-8.39457816567409,1.91059955839574
32,low_mood_low_tempo_extr,high_mood_low_tempo_extr,low_mood_high_tempo_extr,27,0,7,0,low_mood_low_tempo_extr,18,43,30,27,23,59,200,3.0,3.0,2.75,2.0,4.0,-1.77921343502917,3.1784799422
33,high_mood_low_tempo_extr,low_mood_high_tempo_extr,low_mood_low_tempo_extr,37,1,0,-3,low_mood_low_tempo_extr,25,34,19,34,31,59,202,4.0,5.0,4.25,3.25,4.0,-2.42702599452344,2.00920881178071
35,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,25,1,20,2,high_mood_low_tempo_not_extr,35,42,14,30,34,68,223,4.5,4.5,3.0,2.75,5.0,-4.87471077438711,3.66045768250419
36,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,43,1,4,-1,high_mood_low_tempo_not_extr,30,37,13,29,30,65,204,3.0,3.5,3.0,2.75,2.5,-5.68738627170992,0.0811566824229898
37,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,16,1,0,-3,high_mood_low_tempo_not_extr,43,51,11,31,31,59,226,4.0,4.75,4.75,3.25,3.75,-7.60222935710985,3.12928008775127
38,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,13,0,8,0,high_mood_low_tempo_not_extr,38,45,13,27,32,65,220,4.5,4.5,3.0,2.25,4.0,-7.6502530026746705,1.33385372299996
39,high_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,low_mood_low_tempo_not_extr,50,1,0,-3,low_mood_high_tempo_not_extr,33,35,9,26,31,52,186,3.0,4.5,4.0,3.75,4.25,-2.24896226263212,4.02469007359734
40,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,19,1,14,1,high_mood_low_tempo_not_extr,38,43,15,28,28,57,209,3.75,3.75,2.0,1.75,3.25,-3.10153199505431,0.701895013199587
41,low_mood_high_tempo_not_extr,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,15,0,4,-1,low_mood_high_tempo_not_extr,29,54,8,24,22,51,188,3.25,4.0,2.75,2.5,3.25,-5.749427158962599,2.47224136702384
42,high_mood_low_tempo_not_extr,low_mood_low_tempo_not_extr,low_mood_high_tempo_not_extr,18,1,0,-3,high_mood_low_tempo_not_extr,30,41,11,28,20,40,170,2.5,3.5,3.0,2.25,3.25,-5.857425252131191,-1.00985675481511
43,low_mood_high_tempo_extr,high_mood_low_tempo_extr,low_mood_low_tempo_extr,17,0,2,-2,low_mood_high_tempo_extr,17,41,10,25,32,53,178,3.0,3.75,1.25,3.0,3.25,-3.2513983077746804,3.6149003746199
44,high_mood_low_tempo_extr,low_mood_high_tempo_extr,low_mood_low_tempo_extr,49,0,0,-3,low_mood_high_tempo_extr,34,44,20,26,29,68,221,4.0,3.5,3.5,3.0,4.0,-5.9569460966881795,-0.0836271438080562
