,category_id,album_name,artist_name,playlist_name,track_id,track_name,track_uri,duration_ms,track_popularity,acousticness,danceability,energy,valence,tempo,instrumentalness,key,mode,liveness,loudness,speechiness
1673,classical,"Paganini: Music for Violin and Guitar, Vol. 1","Niccolò Paganini,Scott St. John,Simon Wynberg",Classical Guitar 50: Spotify Picks,4MozLSat8lL85MTfqpS2RD,"Sonata concertata in A Major, Op. 61, MS 2: III. Rondeu - Allegretto con brio scherzando",spotify:track:4MozLSat8lL85MTfqpS2RD,116720,39,0.944,0.498,0.124,0.394,121.749,0.462,4,1,0.104,-25.47,0.0601
1674,classical,Romantic Guitar Favourites,"Felix Mendelssohn,Gerald Garcia",Classical Guitar 50: Spotify Picks,690jGhkElcf7vNPq0lvYtS,"Lieder ohne Worte (Songs without Words), Book 1, Op. 19b: Song without Words, Op. 19, No. 6, Venetian Boat Song I",spotify:track:690jGhkElcf7vNPq0lvYtS,139000,35,0.986,0.606,0.0413,0.6609999999999999,132.748,0.933,2,0,0.0892,-26.373,0.0666
1675,classical,Sor: Introduction and Variations Opp. 26-28 / Etudes Op. 29,"Fernando Sor,Jeffrey McFadden",Classical Guitar 50: Spotify Picks,7z9n85rPAoaE4ylqA0t7dI,"12 Studies, Op. 29: No. 17 in C Major",spotify:track:7z9n85rPAoaE4ylqA0t7dI,212893,33,0.993,0.506,0.0556,0.377,134.82299999999998,0.933,7,1,0.153,-26.687,0.051
1676,classical,Llobet: Guitar Works (Complete),"Miguel Llobet Solés,Lorenzo Micheli",Classical Guitar 50: Spotify Picks,1ezqle0CLSBPjjZcjKhFuh,Romanza,spotify:track:1ezqle0CLSBPjjZcjKhFuh,309587,33,0.986,0.436,0.0493,0.233,108.507,0.909,0,1,0.136,-26.583,0.0484
1677,classical,Takemitsu: Complete Original Solo Guitar Works,"Toru Takemitsu,Shin-ichi Fukuda",Classical Guitar 50: Spotify Picks,2RsuLm5HzkMU1glLu2kIi1,Subete wa usuakari no naka de (All in Twilight): I. —,spotify:track:2RsuLm5HzkMU1glLu2kIi1,145293,32,0.991,0.278,0.0149,0.19,170.13,0.899,7,1,0.0891,-29.46,0.0539
1678,classical,New Strings Attached,"Guy Barash,Nadav Lev",Classical Guitar 50: Spotify Picks,2UtQn9jff8M29DbTNcp3tj,TalkBack III,spotify:track:2UtQn9jff8M29DbTNcp3tj,568457,30,0.931,0.461,0.282,0.132,109.978,0.925,2,1,0.207,-18.628,0.0487
1679,classical,La Mascarade - Music For Solo Baroque Guitar And Theorbo,"Robert de Visée,Rolf Lislevand",Lute Music For Alchemists,603QYL8bS4KON9BVqI5WRC,Prélude en ré mineur,spotify:track:603QYL8bS4KON9BVqI5WRC,75440,2,0.982,0.253,0.0431,0.233,86.051,0.7609999999999999,1,0,0.15,-28.003,0.0376
1680,classical,Musical Banquet,"John Dowland,Nigel North",Lute Music For Alchemists,7n71q1cB3sFGdPXjfxSTGY,"Lady Rich, Her Galliard",spotify:track:7n71q1cB3sFGdPXjfxSTGY,117107,2,0.967,0.295,0.0247,0.482,83.189,0.825,6,1,0.0925,-32.65,0.0455
1681,classical,Italian Baroque Music for Archlute,"Alessandro Piccinini,Francesca Torelli",Lute Music For Alchemists,0AyptO1NDrEW51CeG46JvZ,Toccata XX,spotify:track:0AyptO1NDrEW51CeG46JvZ,159242,34,0.962,0.374,0.116,0.411,96.475,0.909,2,0,0.0984,-22.755,0.0369
1682,classical,Daniel Bacheler: The Bachelar's Delight,"Daniel Bacheler,Paul O'Dette",Lute Music For Alchemists,7xBACvynSPVkMOUNsxRyLu,Mounsieurs Almanie,spotify:track:7xBACvynSPVkMOUNsxRyLu,357667,34,0.979,0.295,0.0509,0.568,121.763,0.875,6,1,0.104,-29.825,0.0541
