current_track-next_track,diff_acousticness,diff_danceability,diff_energy,diff_valence,diff_tempo,diff_instrumentalness,diff_key,diff_mode,diff_liveness,diff_loudness,diff_speechiness,is_good_sequence
6F5c58TMEs1byxUstkzVeM_0hg2i3nCv3KZUgyo1m3L6H,0.02023,0.124,0.1359999999999999,0.31,59.98400000000001,0.0003804,2.0,1.0,0.2825,0.1009999999999982,9.999999999999593e-05,1
0hg2i3nCv3KZUgyo1m3L6H_1rIKgCH4H52lrvDcz50hS8,0.1079,0.016000000000000125,0.19599999999999984,0.03400000000000003,21.977999999999994,0.00038700000000000003,2.0,1.0,0.1395,0.9989999999999996,0.0042999999999999965,1
1rIKgCH4H52lrvDcz50hS8_4QjVfuu7om31HBan0jlX4p,0.16300000000000006,0.02000000000000001,0.16899999999999982,0.5650000000000001,0.9719999999999942,3.01e-06,2.0,1.0,0.13170000000000004,1.0699999999999998,0.10099999999999999,1
4QjVfuu7om31HBan0jlX4p_5fpTIIkao9OkzE0EYLqBqQ,0.031000000000000024,0.02699999999999992,0.16799999999999993,0.3210000000000001,5.971000000000004,3.01e-06,9.0,1.0,0.08969999999999999,3.3549999999999973,0.14,1
5fpTIIkao9OkzE0EYLqBqQ_5cE201rNvIkryS8N1dJ5nR,0.2505,0.08999999999999997,0.024000000000000014,0.018999999999999902,19.203999999999994,0.0,0.0,0.0,0.061999999999999986,1.0539999999999976,0.2394,1
5cE201rNvIkryS8N1dJ5nR_1oLSje4Ot5qRUq8FqYeXOl,0.1415,0.13800000000000012,0.07700000000000007,0.141,4.204999999999998,0.0,5.0,0.0,0.0397,1.3850000000000002,0.007200000000000005,1
1oLSje4Ot5qRUq8FqYeXOl_0DC7Zs2qvAbNK1owWQ4mlL,0.06709999999999999,0.14500000000000013,0.268,0.31299999999999994,59.88300000000001,0.0,3.0,1.0,0.006100000000000008,1.922,0.1106,1
0DC7Zs2qvAbNK1owWQ4mlL_2kecdnlyueotEMC8rdNlf6,0.0391,0.052999999999999936,0.13700000000000007,0.031999999999999966,30.07900000000001,0.0,1.0,0.0,0.027599999999999986,2.793,0.1235,1
2kecdnlyueotEMC8rdNlf6_4txc3txsIt81diMzGhrVPS,0.262,0.30199999999999994,0.05799999999999994,0.15200000000000002,31.74000000000001,9.38e-06,0.0,0.0,0.6509999999999999,1.7140000000000004,0.2135,1
4txc3txsIt81diMzGhrVPS_2CPLGREl5ahzA2WPBMkpxh,0.223,0.46399999999999997,0.029000000000000026,0.171,31.09899999999999,0.00052462,5.0,0.0,0.659,1.2650000000000006,0.2055,1
2CPLGREl5ahzA2WPBMkpxh_0xRcWDxnvOHD9Ab92NfEAR,0.5901,0.223,0.332,0.04400000000000015,0.8340000000000032,0.000534,5.0,0.0,0.19,1.4400000000000013,0.0021000000000000046,1
0xRcWDxnvOHD9Ab92NfEAR_6ie2Bw3xLj2JcGowOlcMhb,0.0020000000000000018,0.018000000000000016,0.06699999999999995,0.2440000000000001,42.84700000000001,8.55e-06,5.0,0.0,0.1951,0.3190000000000017,0.058099999999999985,1
6ie2Bw3xLj2JcGowOlcMhb_5p7ujcrUXASCNwRaWNHR1C,0.2761,0.15800000000000006,0.233,0.2799999999999999,7.0989999999999895,5.599999999999997e-07,4.0,0.0,0.005699999999999997,0.7620000000000005,0.0252,1
5p7ujcrUXASCNwRaWNHR1C_0tBbt8CrmxbjRP0pueQkyU,0.16799999999999998,0.03200000000000003,0.3190000000000001,0.2279999999999999,11.095,9.11e-06,5.0,1.0,0.0894,2.46,0.02729999999999999,1
0tBbt8CrmxbjRP0pueQkyU_53b4d9jHQZq89EtQxwUURr,0.1104,0.10299999999999998,0.3440000000000001,0.065,41.015,0.0,0.0,0.0,0.0040000000000000036,3.388,0.003000000000000003,1
53b4d9jHQZq89EtQxwUURr_7FIcIjKaQJpy0vWWFZMZGH,0.0688,0.07900000000000007,0.132,0.09399999999999996,99.805,6.48e-06,11.0,1.0,0.025999999999999995,0.5800000000000001,0.07179999999999999,1
7FIcIjKaQJpy0vWWFZMZGH_1apJ10oFcHPrkqMhqtxSjM,0.08736490000000001,0.1869999999999999,0.30800000000000005,0.009000000000000008,19.958999999999946,0.18399352,6.0,1.0,0.0060000000000000045,3.3629999999999995,0.026599999999999985,1
1apJ10oFcHPrkqMhqtxSjM_0wPusFl6637bObxQ2ZX3a5,0.31296490000000005,0.321,0.3330000000000001,0.31100000000000005,73.82400000000008,0.1839812,6.0,1.0,0.069,3.522,0.042600000000000006,1
0wPusFl6637bObxQ2ZX3a5_2rzZ0IGxgrGUAPwrWn80z7,0.18600000000000005,0.03400000000000003,0.12599999999999995,0.503,83.75400000000003,1.88e-05,7.0,0.0,0.004500000000000004,6.663999999999998,0.1532,1
2rzZ0IGxgrGUAPwrWn80z7_7FUGNIP1vHuS9gtDAGf7kH,0.35500000000000004,0.09199999999999996,0.035999999999999976,0.030000000000000027,43.50900000000002,5.26e-06,4.0,0.0,0.0049000000000000024,6.268,0.1635,1
7FUGNIP1vHuS9gtDAGf7kH_3dEFa9KjOLEZl980ctEEv1,0.48053,0.0179999999999999,0.44299999999999995,0.406,11.793000000000037,5.26e-06,2.0,1.0,0.1816,4.1099999999999985,0.0,1
3dEFa9KjOLEZl980ctEEv1_5zhee6Apgg8QqeJObO4k1d,0.006059999999999999,0.1080000000000001,0.12,0.207,5.984000000000008,0.0,5.0,1.0,0.2173,0.8500000000000005,0.004,1
