current_track-next_track,current_track,next_track,energy_median,valence_median,tempo_median,energy_ct,valence_ct,tempo_ct,energy_nt,valence_nt,tempo_nt,energy_mid_pont,valence_mid_pont,tempo_mid_pont,diff_energy,diff_valence,diff_tempo,euclidian_dist_midpoint_median,euclidian_dist_track
5R96PHcqOGjgj23D98F6mf_7pdF27mSDuPWhppnHAmWHa,5R96PHcqOGjgj23D98F6mf,7pdF27mSDuPWhppnHAmWHa,0.642,0.487,113.815,0.565,0.302,67.992,0.525,0.369,160.14700000000005,0.5449999999999999,0.3355,114.06950000000003,0.039999999999999925,0.067,92.15500000000004,0.3116592690744464,92.15503303672573
5R96PHcqOGjgj23D98F6mf_0QIjsbm2fh1cJ45XO9eGqq,5R96PHcqOGjgj23D98F6mf,0QIjsbm2fh1cJ45XO9eGqq,0.642,0.487,113.815,0.565,0.302,67.992,0.578,0.3670000000000001,143.01,0.5714999999999999,0.3345,105.501,0.013000000000000013,0.06500000000000011,75.01799999999999,8.31569735500276,75.01802928629888
5R96PHcqOGjgj23D98F6mf_708L4ld9wD2pjoqKwaxkXa,5R96PHcqOGjgj23D98F6mf,708L4ld9wD2pjoqKwaxkXa,0.642,0.487,113.815,0.565,0.302,67.992,0.55,0.319,159.971,0.5575,0.3105,113.98150000000001,0.014999999999999902,0.017000000000000015,91.979,0.25693335711815324,91.979002794116
53jbdPQBaH6WaQvW0zmGBs_0hNduWmlWmEmuwEFcYvRu1,53jbdPQBaH6WaQvW0zmGBs,0hNduWmlWmEmuwEFcYvRu1,0.642,0.487,113.815,0.507,0.236,180.159,0.467,0.236,90.838,0.487,0.236,135.49849999999998,0.03999999999999998,0.0,89.32100000000004,21.685506640380787,89.32100895645995
53jbdPQBaH6WaQvW0zmGBs_3s3LHm3AI7jazWk0Rdg6Q3,53jbdPQBaH6WaQvW0zmGBs,3s3LHm3AI7jazWk0Rdg6Q3,0.642,0.487,113.815,0.507,0.236,180.159,0.479,0.217,94.843,0.493,0.22649999999999998,137.501,0.028000000000000025,0.019000000000000017,85.31600000000003,23.687901073121704,85.31600671034714
53jbdPQBaH6WaQvW0zmGBs_116H0KvKr2Zl4RPuVBruDO,53jbdPQBaH6WaQvW0zmGBs,116H0KvKr2Zl4RPuVBruDO,0.642,0.487,113.815,0.507,0.236,180.159,0.539,0.158,97.062,0.523,0.197,138.6105,0.03200000000000003,0.07800000000000001,83.09700000000002,24.79748134891929,83.09704276928271
53jbdPQBaH6WaQvW0zmGBs_7o9excfum2cULCaPpHa2Hh,53jbdPQBaH6WaQvW0zmGBs,7o9excfum2cULCaPpHa2Hh,0.642,0.487,113.815,0.507,0.236,180.159,0.4920000000000001,0.203,93.937,0.49950000000000006,0.2195,137.048,0.014999999999999902,0.033,86.22200000000002,23.234976899063195,86.22200761986466
53jbdPQBaH6WaQvW0zmGBs_5CZmC1I3ZbyH2ToPwTciAy,53jbdPQBaH6WaQvW0zmGBs,5CZmC1I3ZbyH2ToPwTciAy,0.642,0.487,113.815,0.507,0.236,180.159,0.542,0.217,96.933,0.5245,0.22649999999999998,138.546,0.03500000000000003,0.019000000000000017,83.22600000000003,24.732651040678995,83.22600952827186
53jbdPQBaH6WaQvW0zmGBs_56ev0yPeYbMzfrGCfS2KCr,53jbdPQBaH6WaQvW0zmGBs,56ev0yPeYbMzfrGCfS2KCr,0.642,0.487,113.815,0.507,0.236,180.159,0.511,0.287,100.135,0.509,0.26149999999999995,140.147,0.0040000000000000036,0.05099999999999996,80.02400000000002,26.333301411900475,80.02401635134291
53jbdPQBaH6WaQvW0zmGBs_4vhW66VGfINDEOssckYMIW,53jbdPQBaH6WaQvW0zmGBs,4vhW66VGfINDEOssckYMIW,0.642,0.487,113.815,0.507,0.236,180.159,0.505,0.255,109.446,0.506,0.2455,144.8025,0.0020000000000000018,0.01899999999999999,70.71300000000002,30.98873947904304,70.71300258085495
